# StartTime = 02/03/2026 11:20:39.6323 AM
Time (sec), Vehicle speed (MPH), Mass air flow rate (lb/min), Latitude (deg), Longitude (deg), Trip Fuel Economy (MPG), Total Fuel Economy (MPG), Fuel Rate (gal/hr), Total CO2 (lbs), CO2 flow (lb/min), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Fuel system 1 status, Fuel system 2 status, Calculated load value (%), Engine coolant temperature (°F), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Engine RPM (RPM), Intake manifold absolute pressure (inHg), Mass air flow rate (lb/min), Intake air temperature (°F), O2 voltage (Bank 1  Sensor 2) (V), Short term fuel trim (Bank 1  Sensor 2) (%)
200.876,42.253242,3.684555,42.087524,-73.94167,12.269438,29.896727,2.2818258,777.0996,0.745238,18.244982,1.0740397,2,0,67.84314,113,-3.125,8.59375,2300,20.67107,3.6749194,5,0.79,-3.90625
203.574,42.87461,4.262706,42.08804,-73.94163,12.438388,29.895493,2.830975,777.1693,0.9245887,15.144821,1.2938968,2,0,47.45098,132.8,4.6875,8.59375,1522,9.449632,1.1116973,6.8,0.805,2.34375
207.358,40.389126,0.889056,42.088516,-73.94152,12.438388,29.895493,2.830975,777.1693,0.9245887,15.144821,1.2938968,2,0,31.764706,132.8,-3.125,8.59375,1417,9.449632,1.0310096,6.8,0.055,-3.125
208.709,39.767757,0.881118,42.088818,-73.941376,12.770861,29.895966,0.59044546,777.17883,0.19283786,68.4045,0.28646997,2,0,32.156864,132.8,-2.34375,8.59375,1501,12.107341,1.399289,6.8,0.825,-3.125
211.137,40.389126,1.436778,42.08911,-73.94119,13.03548,29.896345,0.5851736,777.1866,0.1911161,67.9589,0.28834832,2,0,35.686275,132.8,7.03125,8.59375,1600,12.402642,1.5279605,6.8,0.055,-1.5625
213.700,40.389126,1.584954,42.08952,-73.94083,13.263103,29.896547,0.95420206,777.1992,0.31163976,42.32765,0.46295592,2,0,46.666668,132.8,-1.5625,8.59375,1747,16.536856,2.2244558,6.8,0.795,-1.5625
216.132,42.253242,2.84445,42.089912,-73.94038,13.476353,29.8967,1.0526097,777.21313,0.3437794,38.370472,0.51070094,2,0,61.960785,132.8,1.5625,8.59375,1809,15.355652,2.138872,6.8,0.44,2.34375
218.694,42.253242,1.157625,42.09018,-73.940094,13.623857,29.89643,1.8890741,777.2409,0.61696637,22.36717,0.8760981,2,0,35.294117,132.8,7.8125,8.59375,1562,9.744933,1.1720276,6.8,0.14,0
221.128,41.63187,1.357398,42.09047,-73.939865,13.874181,29.896757,0.7688092,777.2511,0.25109097,54.95933,0.35655153,2,0,40.784313,132.8,-3.125,8.59375,1777,18.899263,2.5858912,6.8,0.06,-3.125
223.719,41.010498,3.746736,42.090946,-73.939674,14.10163,29.897007,0.9014837,777.26294,0.2944221,46.1815,0.4243222,2,0,73.72549,132.8,-1.5625,8.59375,2104,22.147575,3.5879786,5,0.81,-2.34375
